Hotel/Property,Annual Energy Savings (USD),CO2 Reduction (lbs/year),Payback Period (Years),Operating Expense Reduction %
Fairmont The Palm,112724.0,1121232,1.1,63
Four Seasons Resort JBR,123359.0,1047557,1.0,50
W Hotel Abu Dhabi,76528.0,1405742,1.7,50
Jumeirah Al Qasr (11 Kitchens),175790.608,1806597,1.7,64
Jumeirah Mina Al Salam,120277.85600000001,1235325,1.7,64
Anantara Mangroves,35286.288,810809,1.9,56
Crown Plaza Yas Island,44381.696,1019802,1.9,56
Radisson Blu Yas Island,39099.184,898420,1.8,55
